/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.57

('left', 'red', None, None)
 -- forward : -5.23
 -- None : 1.56
 -- right : 0.96
 -- left : -13.61

('forward', 'red', None, None)
 -- forward : -9.31
 -- None : 1.80
 -- right : 0.54
 -- left : -4.90

('forward', 'green', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.28
 -- left : 0.00

('right', 'green', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.27
 -- left : 0.65

('right', 'green', None, None)
 -- forward : 0.78
 -- None : -4.14
 -- right : 1.62
 -- left : 0.15

('left', 'green', None, 'forward')
 -- forward : 0.00
 -- None : -2.26
 -- right : 0.82
 -- left : -10.42

('left', 'green', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.42

('right', 'red', 'forward', 'right')
 -- forward : -20.43
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', None)
 -- forward : -20.07
 -- None : 1.84
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.81
 -- left : 0.00

('left', 'red', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -19.99

('forward', 'green', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.08

('left', 'red', None, 'forward')
 -- forward : 0.00
 -- None : 1.79
 -- right : 0.52
 -- left : 0.00

('left', 'green', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.49
 -- left : 0.00

('left', 'red', None, 'right')
 -- forward : -5.16
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.99
 -- left : 0.00

('forward', 'green', 'left', None)
 -- forward : 1.88
 -- None : -4.40
 -- right : 0.91
 -- left : 0.45

('left', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 0.77
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', None)
 -- forward : 0.00
 -- None : 1.75
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'right')
 -- forward : -7.28
 -- None : 0.47
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, 'right')
 -- forward : 0.18
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.49

('right', 'green', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', None)
 -- forward : -29.82
 -- None : 1.97
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'forward')
 -- forward : -20.36
 -- None : 0.00
 -- right : -15.66
 -- left : 0.00

('forward', 'green', 'right', 'left')
 -- forward : 0.00
 -- None : -2.11
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None)
 -- forward : 0.72
 -- None : -3.48
 -- right : 0.78
 -- left : 0.45

('right', 'green', None, 'left')
 -- forward : 0.00
 -- None : -2.85
 -- right : 2.03
 -- left : 0.17

('left', 'green', 'forward', None)
 -- forward : 0.65
 -- None : -2.01
 -- right : 0.50
 -- left : 1.86

('right', 'red', 'right', None)
 -- forward : -5.22
 -- None : 0.00
 -- right : 1.06
 -- left : 0.00

('right', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -9.83
 -- left : 0.00

('forward', 'red', 'forward', 'left')
 -- forward : -20.15
 -- None : 1.89
 -- right : 0.00
 -- left : -20.10

('forward', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- None : -2.76
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'right')
 -- forward : 1.35
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -9.92

('forward', 'green', None, 'left')
 -- forward : 1.87
 -- None : -3.45
 -- right : 0.52
 -- left : 0.00

('left', 'green', None, 'left')
 -- forward : 0.67
 -- None : 0.00
 -- right : 0.47
 -- left : 1.97

('right', 'green', None, 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.59
 -- left : -9.74

('right', 'red', 'left', None)
 -- forward : 0.00
 -- None : 0.93
 -- right : 0.00
 -- left : -7.67

('right', 'green', 'right', 'left')
 -- forward : 0.00
 -- None : -2.19
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.66
 -- left : -19.86

('right', 'red', None, None)
 -- forward : -15.31
 -- None : 1.34
 -- right : 0.00
 -- left : -16.79

('forward', 'red', 'right', 'left')
 -- forward : -19.94
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', None)
 -- forward : -5.33
 -- None : 0.98
 -- right : 0.00
 -- left : -5.07

('right', 'red', None, 'forward')
 -- forward : 0.00
 -- None : 0.68
 -- right : 0.00
 -- left : -4.74

('left', 'red', 'left', 'forward')
 -- forward : 0.00
 -- None : 1.47
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'forward')
 -- forward : 1.89
 -- None : -2.97
 -- right : 0.00
 -- left : -10.32

('forward', 'green', 'forward', 'left')
 -- forward : 0.00
 -- None : -2.20
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.21

('right', 'red', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.15

('left', 'green', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.04
 -- left : 0.00

('forward', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.12

('forward', 'red', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.57
 -- left : 0.00

('left', 'red', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.09
 -- left : 0.00

('forward', 'red', None, 'forward')
 -- forward : 0.00
 -- None : 1.22
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'left')
 -- forward : 0.00
 -- None : -2.41
 -- right : 0.25
 -- left : 0.00

('right', 'red', None, 'left')
 -- forward : -8.06
 -- None : 0.96
 -- right : 2.16
 -- left : -4.50

('right', 'red', 'forward', None)
 -- forward : -29.56
 -- None : 0.67
 -- right : -10.48
 -- left : -19.50

('left', 'red', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.29
 -- left : 0.00

('right', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 1.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, None)
 -- forward : 0.06
 -- None : -4.60
 -- right : -0.22
 -- left : 1.26

('forward', 'green', None, None)
 -- forward : 1.74
 -- None : -5.11
 -- right : 0.47
 -- left : 0.12

('forward', 'red', None, 'left')
 -- forward : -8.50
 -- None : 1.07
 -- right : 1.12
 -- left : -9.75

('left', 'red', None, 'left')
 -- forward : -9.25
 -- None : 1.97
 -- right : 1.13
 -- left : -7.23

('forward', 'green', 'left', 'right')
 -- forward : 0.00
 -- None : -2.50
 -- right : 0.00
 -- left : 0.00

