trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.77774889124657,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.82491776597666,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.60270853918087,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.57070182843043,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-193.8801081750354,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.66376741349039,"{0: 24, 1: 1, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.98904853035708,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,13,-33.24857709744316,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.38127129090225,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.99965632131169,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,6,-135.4997016725019,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.954255783837,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.23455922603705,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.9627497960752,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.1992071547292,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.80050548707709,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.71883325435093,"{0: 18, 1: 8, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.3999903800108,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.23510474773823,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.34543281721481,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-109.83730418465612,"{0: 21, 1: 7, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.2525230988063,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.43498257940627,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.03703599982236,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,13,-55.85236216850638,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.43024443653135,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.3930537255479,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.423048033713,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.74414122402987,"{0: 8, 1: 2, 2: 7, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.66159975204016,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
